height,weight,label
182,63,normal
174,71,normal
173,57,normal
150,66,fat
153,76,fat
190,57,thin
176,67,normal
162,44,thin
150,53,normal
167,69,normal
180,71,normal
188,50,thin
159,67,fat
175,50,thin
151,43,normal
171,58,normal
171,81,fat
160,57,normal
165,77,fat
163,63,normal
151,49,normal
175,81,fat
148,54,normal
146,82,fat
180,47,thin
174,66,normal
178,85,fat
169,85,fat
140,62,fat
148,46,normal
170,58,normal
170,55,normal
146,46,normal
190,59,thin
183,80,normal
161,49,normal
177,58,normal
144,84,fat
146,68,fat
166,53,normal
152,48,normal
181,77,normal
165,67,normal
173,57,normal
189,75,normal
155,57,normal
160,57,normal
186,44,thin
159,41,thin
152,40,thin
163,84,fat
141,68,fat
148,49,normal
166,83,fat
144,67,fat
183,44,thin
172,41,thin
156,55,normal
180,68,normal
156,51,normal
142,45,normal
152,72,fat
155,42,thin
176,52,thin
178,49,thin
150,58,fat
157,63,fat
151,75,fat
143,51,normal
143,43,normal
157,81,fat
147,68,fat
185,85,normal
183,77,normal
170,59,normal
159,45,thin
188,61,thin
169,49,thin
162,50,normal
188,74,normal
149,56,fat
143,62,fat
175,75,normal
172,78,fat
151,71,fat
182,63,normal
169,73,fat
185,70,normal
160,53,normal
170,82,fat
174,60,normal
147,85,fat
142,42,normal
181,70,normal
179,59,thin
142,60,fat
143,44,normal
163,55,normal
179,68,normal
154,43,thin
171,78,fat
166,51,normal
145,61,fat
143,72,fat
177,54,thin
184,64,normal
182,76,normal
171,74,fat
187,53,thin
186,84,normal
166,52,normal
172,45,thin
186,78,normal
173,69,normal
174,41,thin
157,83,fat
154,68,fat
187,62,thin
159,84,fat
147,49,normal
175,41,thin
145,82,fat
148,61,fat
162,77,fat
173,80,fat
171,53,thin
155,49,normal
156,47,normal
154,57,normal
167,50,thin
143,65,fat
184,55,thin
148,80,fat
176,43,thin
170,56,normal
160,58,normal
181,58,thin
163,63,normal
151,46,normal
189,42,thin
152,69,fat
151,57,normal
190,49,thin
170,50,thin
172,79,fat
167,62,normal
165,63,normal
169,61,normal
180,42,thin
175,77,fat
169,76,fat
146,63,fat
172,45,thin
185,41,thin
190,52,thin
190,69,normal
142,56,fat
172,70,normal
141,58,fat
144,65,fat
152,83,fat
190,65,thin
152,55,normal
162,79,fat
140,51,fat
169,53,normal
159,82,fat
140,84,fat
170,40,thin
165,84,fat
185,49,thin
156,77,fat
142,44,normal
178,64,normal
176,43,thin
182,71,normal
158,79,fat
183,62,normal
160,74,fat
162,80,fat
180,76,normal
164,59,normal
154,67,fat
147,44,normal
159,85,fat
166,79,fat
161,47,thin
164,69,fat
187,52,thin
172,57,normal
175,81,fat
154,59,normal
158,81,fat
163,64,normal
164,59,normal
149,41,thin
160,74,fat
147,47,normal
172,48,thin
156,44,thin
172,79,fat
183,78,normal
172,45,thin
182,57,thin
155,77,fat
149,58,fat
189,67,normal
158,47,normal
161,74,fat
165,41,thin
176,71,normal
161,61,normal
162,40,thin
145,65,fat
165,75,fat
168,43,thin
148,45,normal
142,64,fat
180,47,thin
171,51,thin
151,78,fat
152,40,thin
151,58,fat
143,61,fat
179,66,normal
184,83,normal
171,74,fat
184,67,normal
173,72,normal
182,42,thin
165,47,thin
174,59,normal
178,67,normal
188,45,thin
165,54,normal
189,55,thin
151,75,fat
172,70,normal
141,42,normal
174,50,thin
186,62,thin
187,45,thin
171,57,normal
150,69,fat
144,71,fat
152,52,normal
170,73,fat
158,71,fat
179,66,normal
168,85,fat
185,42,thin
161,70,fat
156,75,fat
165,84,fat
177,81,fat
173,48,thin
169,48,thin
168,70,normal
180,71,normal
188,52,thin
154,54,normal
176,51,thin
177,60,normal
159,77,fat
174,57,normal
143,49,normal
150,42,normal
181,72,normal
162,64,normal
162,57,normal
152,72,fat
141,62,fat
166,49,thin
190,85,normal
179,73,normal
189,55,thin
178,73,normal
169,56,normal
162,70,fat
150,78,fat
172,66,normal
188,77,normal
152,76,fat
161,77,fat
190,60,thin
164,64,normal
188,74,normal
172,65,normal
157,48,normal
145,66,fat
143,55,fat
182,65,normal
141,42,normal
140,56,fat
189,67,normal
157,52,normal
156,47,normal
154,82,fat
172,49,thin
182,76,normal
180,63,normal
167,41,thin
189,82,normal
145,63,fat
143,84,fat
169,51,thin
153,80,fat
177,53,thin
173,40,thin
143,60,fat
168,79,fat
172,55,normal
172,52,thin
170,66,normal
185,40,thin
190,42,thin
173,53,thin
146,62,fat
147,74,fat
157,82,fat
162,80,fat
142,61,fat
142,55,fat
184,57,thin
169,61,normal
159,58,normal
159,78,fat
183,69,normal
168,62,normal
143,83,fat
164,82,fat
183,56,thin
147,46,normal
183,70,normal
169,82,fat
167,66,normal
153,59,fat
172,44,thin
159,85,fat
162,65,normal
166,71,fat
157,75,fat
174,66,normal
156,73,fat
147,42,normal
160,57,normal
157,69,fat
159,54,normal
170,68,normal
156,66,fat
150,77,fat
170,40,thin
178,46,thin
149,42,normal
177,50,thin
168,65,normal
154,48,normal
182,63,normal
163,77,fat
183,42,thin
164,62,normal
178,41,thin
171,54,thin
180,80,normal
181,51,thin
169,80,fat
168,50,thin
180,66,normal
174,64,normal
170,80,fat
175,61,normal
145,81,fat
172,58,normal
160,56,normal
155,55,normal
154,74,fat
165,56,normal
188,47,thin
185,42,thin
149,83,fat
160,53,normal
181,79,normal
187,76,normal
166,48,thin
161,41,thin
169,53,normal
172,81,fat
162,55,normal
156,50,normal
177,84,fat
163,41,thin
190,81,normal
171,78,fat
165,77,fat
181,71,normal
177,53,thin
161,79,fat
190,66,thin
144,47,normal
179,66,normal
146,80,fat
152,68,fat
161,68,fat
140,80,fat
168,70,normal
177,65,normal
179,49,thin
140,46,normal
173,64,normal
169,68,normal
154,44,normal
159,83,fat
142,67,fat
149,70,fat
183,72,normal
153,71,fat
164,80,fat
182,65,normal
169,55,normal
156,49,normal
185,71,normal
148,62,fat
187,62,thin
161,65,fat
178,81,fat
186,52,thin
155,72,fat
145,71,fat
168,50,thin
176,84,fat
189,44,thin
158,71,fat
172,79,fat
159,49,normal
165,40,thin
170,48,thin
144,61,fat
154,71,fat
160,52,normal
168,80,fat
177,61,normal
160,56,normal
175,84,fat
146,66,fat
174,54,thin
183,85,fat
155,50,normal
181,60,thin
144,55,fat
189,75,normal
160,56,normal
188,48,thin
169,72,fat
181,76,normal
167,47,thin
145,85,fat
179,82,fat
172,56,normal
164,46,thin
141,64,fat
153,83,fat
179,71,normal
181,44,thin
182,56,thin
152,41,thin
156,49,normal
148,41,normal
153,76,fat
149,77,fat
190,83,normal
151,72,fat
140,69,fat
183,75,normal
172,59,normal
162,69,fat
160,43,thin
186,81,normal
180,64,normal
173,74,normal
160,55,normal
169,60,normal
171,49,thin
177,68,normal
155,45,normal
164,66,normal
177,66,normal
170,73,fat
185,64,normal
188,58,thin
153,84,fat
167,47,thin
180,61,normal
145,67,fat
171,59,normal
142,46,normal
144,60,fat
155,78,fat
148,69,fat
150,46,normal
145,69,fat
189,73,normal
142,80,fat
149,81,fat
186,85,normal
145,82,fat
145,44,normal
146,47,normal
159,78,fat
163,52,normal
178,65,normal
140,76,fat
164,44,thin
185,61,thin
143,60,fat
178,40,thin
160,71,fat
170,54,normal
171,79,fat
141,83,fat
159,52,normal
185,44,thin
187,59,thin
189,61,thin
189,47,thin
140,51,fat
185,49,thin
186,56,thin
166,63,normal
168,85,fat
183,45,thin
157,48,normal
181,43,thin
187,52,thin
159,79,fat
176,54,thin
173,69,normal
152,83,fat
145,53,fat
169,66,normal
190,61,thin
153,77,fat
179,46,thin
171,71,normal
157,52,normal
142,79,fat
145,49,normal
150,69,fat
144,74,fat
148,55,fat
180,71,normal
168,81,fat
147,53,normal
152,59,fat
165,64,normal
180,42,thin
165,53,normal
183,43,thin
153,42,thin
178,49,thin
158,51,normal
172,77,fat
173,55,thin
183,66,normal
169,70,normal
175,63,normal
146,81,fat
187,51,thin
165,72,fat
154,57,normal
171,66,normal
178,65,normal
140,72,fat
148,56,fat
185,74,normal
175,41,thin
190,57,thin
189,77,normal
167,78,fat
166,52,normal
159,73,fat
189,66,thin
171,45,thin
178,44,thin
151,79,fat
189,51,thin
150,58,fat
174,78,fat
168,61,normal
162,81,fat
153,57,normal
141,63,fat
167,41,thin
162,70,fat
171,42,thin
150,57,fat
176,48,thin
186,82,normal
145,42,normal
181,71,normal
171,61,normal
166,75,fat
149,53,normal
174,57,normal
185,56,thin
172,43,thin
148,65,fat
170,64,normal
163,54,normal
177,71,normal
181,69,normal
176,55,thin
142,75,fat
141,60,fat
176,77,normal
184,41,thin
187,80,normal
156,41,thin
185,60,thin
149,85,fat
180,55,thin
167,42,thin
167,64,normal
159,53,normal
155,43,thin
181,51,thin
163,47,thin
152,73,fat
188,75,normal
149,67,fat
149,73,fat
173,54,thin
154,52,normal
140,69,fat
176,57,thin
160,53,normal
177,84,fat
175,58,normal
151,57,normal
146,58,fat
171,70,normal
186,75,normal
188,48,thin
155,53,normal
174,73,normal
172,80,fat
158,57,normal
175,65,normal
169,69,normal
190,50,thin
163,76,fat
172,59,normal
166,68,normal
179,75,normal
182,41,thin
142,67,fat
167,58,normal
174,74,normal
171,68,normal
180,83,fat
149,71,fat
140,71,fat
141,51,fat
158,66,fat
146,46,normal
183,51,thin
181,61,normal
151,66,fat
176,48,thin
174,69,normal
164,61,normal
147,63,fat
179,60,normal
151,76,fat
190,41,thin
184,75,normal
156,79,fat
152,43,normal
177,45,thin
146,46,normal
184,63,normal
188,59,thin
140,40,normal
183,62,normal
173,71,normal
144,58,fat
146,78,fat
168,49,thin
183,45,thin
157,77,fat
149,52,normal
188,55,thin
172,60,normal
140,56,fat
145,75,fat
180,63,normal
170,55,normal
159,53,normal
155,48,normal
158,82,fat
143,54,fat
148,60,fat
146,49,normal
188,71,normal
145,54,fat
185,51,thin
156,79,fat
162,85,fat
176,84,fat
188,68,normal
177,74,normal
161,76,fat
178,76,normal
166,64,normal
161,56,normal
169,77,fat
184,69,normal
182,58,thin
181,82,fat
186,43,thin
161,56,normal
168,55,normal
178,60,normal
168,60,normal
174,51,thin
183,81,normal
180,71,normal
147,41,normal
152,40,thin
161,75,fat
153,40,thin
151,66,fat
172,73,normal
160,57,normal
142,41,normal
140,82,fat
184,75,normal
170,59,normal
176,69,normal
141,41,normal
151,54,normal
143,47,normal
182,85,fat
175,73,normal
145,80,fat
163,56,normal
174,79,fat
163,46,thin
186,40,thin
179,45,thin
172,77,fat
170,54,normal
180,61,normal
155,74,fat
165,78,fat
172,69,normal
153,60,fat
178,72,normal
160,83,fat
144,53,fat
189,43,thin
166,47,thin
167,56,normal
164,85,fat
140,75,fat
154,60,fat
157,48,normal
141,59,fat
163,83,fat
163,57,normal
175,64,normal
149,51,normal
150,65,fat
176,64,normal
189,42,thin
163,50,normal
169,59,normal
167,82,fat
182,52,thin
143,72,fat
166,66,normal
177,59,normal
157,67,fat
174,63,normal
154,70,fat
172,64,normal
147,46,normal
159,74,fat
151,68,fat
162,48,thin
152,67,fat
188,76,normal
141,75,fat
177,79,fat
153,65,fat
157,45,thin
154,41,thin
142,62,fat
144,84,fat
154,57,normal
175,49,thin
170,49,thin
177,66,normal
186,78,normal
141,42,normal
189,82,normal
155,57,normal
156,78,fat
149,60,fat
175,58,normal
179,44,thin
165,45,thin
164,74,fat
180,71,normal
164,50,normal
153,74,fat
150,57,fat
140,84,fat
187,57,thin
149,55,normal
171,45,thin
170,81,fat
176,58,normal
182,84,fat
166,62,normal
145,56,fat
152,50,normal
187,85,normal
167,43,thin
177,55,thin
154,62,fat
153,42,thin
182,68,normal
170,60,normal
152,59,fat
165,85,fat
151,55,normal
148,51,normal
176,47,thin
153,55,normal
166,66,normal
141,68,fat
181,72,normal
144,78,fat
178,62,normal
167,51,thin
162,63,normal
158,41,thin
140,57,fat
162,65,normal
166,59,normal
173,61,normal
160,82,fat
158,45,thin
142,68,fat
140,73,fat
182,51,thin
142,84,fat
169,81,fat
167,60,normal
166,66,normal
143,57,fat
174,48,thin
168,47,thin
164,66,normal
143,53,fat
162,43,thin
156,49,normal
144,85,fat
170,58,normal
179,55,thin
168,57,normal
141,81,fat
158,56,normal
148,71,fat
177,50,thin
149,42,normal
161,68,fat
159,56,normal
178,58,thin
147,54,normal
160,55,normal
145,49,normal
189,41,thin
190,48,thin
156,48,normal
164,83,fat
168,57,normal
144,78,fat
161,62,normal
167,41,thin
160,55,normal
180,65,normal
188,62,thin
180,68,normal
182,67,normal
148,66,fat
169,65,normal
143,42,normal
166,78,fat
176,77,normal
177,60,normal
174,42,thin
159,76,fat
155,63,fat
185,61,thin
169,81,fat
186,83,normal
181,52,thin
187,71,normal
143,66,fat
182,41,thin
177,71,normal
182,61,thin
149,81,fat
152,81,fat
158,59,normal
175,51,thin
152,82,fat
163,49,thin
181,61,normal
162,81,fat
181,42,thin
172,43,thin
152,42,thin
159,42,thin
168,65,normal
152,77,fat
166,45,thin
148,69,fat
165,44,thin
159,83,fat
165,57,normal
188,73,normal
152,69,fat
185,41,thin
160,71,fat
157,70,fat
177,44,thin
189,44,thin
143,44,normal
161,65,fat
143,46,normal
162,69,fat
185,48,thin
173,79,fat
179,55,thin
165,45,thin
165,74,fat
162,84,fat
145,79,fat
186,66,normal
171,66,normal
157,44,thin
155,44,thin
186,45,thin
183,59,thin
141,53,fat
187,75,normal
157,40,thin
186,79,normal
154,62,fat
181,52,thin
168,83,fat
158,49,normal
173,71,normal
141,81,fat
184,56,thin
185,43,thin
186,57,thin
158,43,thin
165,56,normal
186,62,thin
163,46,thin
187,77,normal
170,41,thin
145,77,fat
172,45,thin
148,42,normal
149,55,normal
177,84,fat
159,65,fat
155,52,normal
146,59,fat
179,56,thin
142,53,fat
184,73,normal
158,64,fat
181,80,normal
187,82,normal
169,67,normal
163,57,normal
181,78,normal
168,58,normal
151,80,fat
170,62,normal
144,43,normal
152,50,normal
163,77,fat
177,59,normal
184,79,normal
184,61,thin
184,44,thin
175,62,normal
146,82,fat
178,54,thin
147,76,fat
181,45,thin
169,41,thin
165,43,thin
183,59,thin
173,62,normal
181,50,thin
174,41,thin
189,49,thin
190,55,thin
165,53,normal
148,47,normal
170,65,normal
190,47,thin
173,49,thin
180,55,thin
144,73,fat
160,74,fat
144,55,fat
170,83,fat
152,84,fat
149,83,fat
165,46,thin
163,77,fat
177,58,normal
168,74,fat
179,43,thin
171,52,thin
167,62,normal
159,63,normal
150,51,normal
183,83,normal
186,65,normal
183,65,normal
185,58,thin
179,65,normal
153,62,fat
178,41,thin
175,73,normal
146,70,fat
172,74,fat
186,67,normal
148,67,fat
175,68,normal
165,81,fat
148,51,normal
167,43,thin
162,74,fat
154,73,fat
173,77,fat
164,48,thin
162,67,fat
187,56,thin
167,56,normal
178,66,normal
144,48,normal
167,73,fat
158,81,fat
173,80,fat
174,70,normal
178,48,thin
177,56,thin
168,58,normal
174,56,thin
142,79,fat
174,72,normal
166,70,fat
158,57,normal
180,84,fat
164,52,normal
185,57,thin
179,40,thin
149,77,fat
141,56,fat
176,75,normal
179,52,thin
167,42,thin
187,58,thin
151,53,normal
178,47,thin
148,67,fat
170,68,normal
183,63,normal
186,64,thin
182,78,normal
173,77,fat
160,54,normal
144,56,fat
157,54,normal
146,48,normal
142,61,fat
186,66,normal
183,78,normal
179,73,normal
141,55,fat
161,44,thin
145,79,fat
176,48,thin
157,59,normal
161,69,fat
144,64,fat
160,65,fat
156,85,fat
